recording,signal,region,created,sizebytes,duration,firstsample,samplerate,gain,minvolts,maxvolts,bitdepth,chanstart,chanend,chansys,nchans
18,ap,hpc,2022-09-21 17:21:15,208431090560,9022.990933333333,1684496,30000,500,-0.6,0.6,512,0,383,384,385
18,ap,pfc,2022-09-21 17:21:15,208430915000,9022.983333333334,1684496,30000,500,-0.6,0.6,512,0,383,384,385
18,lfp,hpc,2022-09-21 17:21:15,17369258060,9022.9912,140374,2500,50,-0.6,0.6,512,0,383,384,385
18,lfp,pfc,2022-09-21 17:21:15,17369243430,9022.9836,140374,2500,125,-0.6,0.6,512,0,383,384,385
19,ap,hpc,2022-09-22 14:50:01,208536231750,9027.5425,2586513,30000,500,-0.6,0.6,512,0,383,384,385
19,ap,pfc,2022-09-22 14:50:01,208536083910,9027.5361,2586513,30000,500,-0.6,0.6,512,0,383,384,385
19,lfp,hpc,2022-09-22 14:50:01,17378019890,9027.5428,215542,2500,50,-0.6,0.6,512,0,383,384,385
19,lfp,pfc,2022-09-22 14:50:01,17378007570,9027.5364,215542,2500,125,-0.6,0.6,512,0,383,384,385
20,ap,hpc,2022-09-23 14:00:09,208866478590,9041.8389,20459025,30000,500,-0.6,0.6,512,0,383,384,385
20,ap,pfc,2022-09-23 14:00:09,208866266070,9041.8297,20459025,30000,500,-0.6,0.6,512,0,383,384,385
20,lfp,hpc,2022-09-23 14:00:09,17405540460,9041.8392,1704918,2500,50,-0.6,0.6,512,0,383,384,385
20,lfp,pfc,2022-09-23 14:00:09,17405522750,9041.83,1704918,2500,125,-0.6,0.6,512,0,383,384,385
21,ap,hpc,2022-09-24 16:55:01,208589317860,9029.8406,6613074,30000,500,-0.6,0.6,512,0,383,384,385
21,ap,pfc,2022-09-24 16:55:01,208589142300,9029.833,6613074,30000,500,-0.6,0.6,512,0,383,384,385
21,lfp,hpc,2022-09-24 16:55:01,17382443540,9029.8408,551089,2500,50,-0.6,0.6,512,0,383,384,385
21,lfp,pfc,2022-09-24 16:55:01,17382428910,9029.8332,551089,2500,125,-0.6,0.6,512,0,383,384,385
22,ap,hpc,2022-09-29 13:00:05,208662948340,9033.028066666666,5067274,30000,500,-0.6,0.6,512,0,383,384,385
22,ap,pfc,2022-09-29 13:00:05,208662754300,9033.019666666667,5067274,30000,500,-0.6,0.6,512,0,383,384,385
22,lfp,hpc,2022-09-29 13:00:05,17388579670,9033.0284,422272,2500,50,-0.6,0.6,512,0,383,384,385
22,lfp,pfc,2022-09-29 13:00:05,17388563500,9033.02,422272,2500,125,-0.6,0.6,512,0,383,384,385
23,ap,hpc,2022-10-03 15:25:38,209311159750,9061.089166666667,10743469,30000,500,-0.6,0.6,512,0,383,384,385
23,ap,pfc,2022-10-03 15:25:38,209310947230,9061.079966666666,10743469,30000,500,-0.6,0.6,512,0,383,384,385
23,lfp,hpc,2022-10-03 15:25:38,17442596710,9061.0892,895289,2500,50,-0.6,0.6,512,0,383,384,385
23,lfp,pfc,2022-10-03 15:25:38,17442579000,9061.08,895289,2500,125,-0.6,0.6,512,0,383,384,385
24,ap,hpc,2022-10-05 15:30:21,209395303810,9064.731766666666,1804615,30000,500,-0.6,0.6,512,0,383,384,385
24,ap,pfc,2022-10-05 15:30:21,209395119010,9064.723766666666,1804615,30000,500,-0.6,0.6,512,0,383,384,385
24,lfp,hpc,2022-10-05 15:30:21,17449609100,9064.732,150384,2500,50,-0.6,0.6,512,0,383,384,385
24,lfp,pfc,2022-10-05 15:30:21,17449593700,9064.724,150384,2500,125,-0.6,0.6,512,0,383,384,385
